image_name,n_participants_target,target_crr,target_hr,target_far,target_hit,target_miss,target_fa,target_cr,n_participants_filler,filler_hit,filler_miss,filler_fa,filler_cr
0140.jpg,41,0.46341463414634154,0.6829268292682927,0.21951219512195122,28,13,9,32,104,15,9,13,91
0141.jpg,49,0.510204081632653,0.7755102040816326,0.2653061224489796,38,11,13,36,106,15,2,25,81
0142.jpg,44,0.4772727272727272,0.6818181818181818,0.20454545454545456,30,14,9,35,88,5,2,26,62
0143.jpg,33,0.8181818181818182,0.8484848484848485,0.030303030303030304,28,5,1,32,98,4,2,8,90
0144.jpg,38,0.9210526315789473,0.9473684210526315,0.02631578947368421,36,2,1,37,93,9,1,13,80
0145.jpg,34,0.6176470588235294,0.7352941176470589,0.11764705882352941,25,9,4,30,84,6,6,10,74
0146.jpg,48,0.6666666666666666,0.75,0.08333333333333333,36,12,4,44,95,10,3,11,84
0147.jpg,45,0.5555555555555555,0.7333333333333333,0.17777777777777778,33,12,8,37,95,4,5,13,82
0148.jpg,32,0.8125,0.90625,0.09375,29,3,3,29,104,15,2,16,88
0149.jpg,35,0.657142857142857,0.8571428571428571,0.2,30,5,7,28,110,13,3,23,87
0150.jpg,35,0.6,0.6857142857142857,0.08571428571428572,24,11,3,32,86,7,4,12,74
0151.jpg,46,0.5869565217391304,0.6956521739130435,0.10869565217391304,32,14,5,41,88,8,5,9,79
0152.jpg,41,0.5609756097560976,0.6829268292682927,0.12195121951219512,28,13,5,36,91,10,1,19,72
0153.jpg,39,0.5384615384615384,0.6923076923076923,0.15384615384615385,27,12,6,33,104,8,4,26,78
0154.jpg,42,0.8333333333333333,0.9523809523809523,0.11904761904761904,40,2,5,37,78,7,0,17,61
0155.jpg,40,0.6000000000000001,0.8,0.2,32,8,8,32,101,7,2,30,71
0156.jpg,46,0.5217391304347826,0.6304347826086957,0.10869565217391304,29,17,5,41,92,9,4,13,79
